"Date","Price","Open","High","Low","Vol.","Change %"
"11/16/2016","3,116.40","3,132.65","3,155.00","3,116.40","","-0.52%"
"11/15/2016","3,132.65","3,152.15","3,152.15","3,121.10","","-0.62%"
"11/14/2016","3,152.15","3,124.95","3,152.15","3,124.95","","0.87%"
"11/13/2016","3,124.95","3,124.95","3,124.95","3,124.95","","0.18%"
"11/11/2016","3,119.40","3,118.65","3,119.40","3,118.35","","0.02%"
"11/10/2016","3,118.65","3,144.15","3,144.15","3,115.55","","-0.81%"
"11/09/2016","3,144.15","3,110.50","3,144.15","3,103.85","","1.08%"
"11/08/2016","3,110.50","3,125.10","3,136.00","3,103.50","","-0.47%"
"11/07/2016","3,125.10","3,094.40","3,135.00","3,094.40","","0.99%"
"11/06/2016","3,094.40","3,094.40","3,094.40","3,094.40","","-0.66%"
"11/04/2016","3,115.00","3,090.55","3,116.00","3,090.55","","0.79%"
"11/03/2016","3,090.55","3,102.85","3,117.50","3,090.55","","-0.40%"
"11/02/2016","3,102.85","3,093.55","3,117.50","3,093.55","","0.30%"
"11/01/2016","3,093.55","3,096.20","3,115.50","3,093.55","","-0.09%"
"10/31/2016","3,096.20","3,061.90","3,115.50","3,061.90","","1.12%"
"10/30/2016","3,061.90","3,061.90","3,061.90","3,061.90","","-0.62%"
"10/28/2016","3,081.15","3,090.45","3,090.80","3,081.15","","-0.30%"
"10/27/2016","3,090.45","3,087.60","3,090.45","3,082.10","","0.09%"
"10/26/2016","3,087.60","3,081.55","3,087.60","3,081.55","","0.20%"
"10/25/2016","3,081.55","3,074.05","3,083.45","3,074.05","","0.24%"
"10/24/2016","3,074.05","3,071.65","3,074.05","3,070.05","","0.08%"
"10/23/2016","3,071.65","3,071.65","3,071.65","3,071.65","","-0.27%"
"10/21/2016","3,080.00","3,081.00","3,082.80","3,070.15","","-0.03%"
"10/20/2016","3,081.00","3,073.50","3,083.25","3,069.30","","0.24%"
"10/19/2016","3,073.50","3,078.70","3,080.50","3,072.10","","-0.17%"
"10/18/2016","3,078.70","3,062.55","3,081.00","3,059.40","","0.53%"
"10/17/2016","3,062.55","3,056.20","3,080.50","3,056.00","","0.21%"
"10/16/2016","3,056.20","3,056.20","3,056.20","3,056.20","","0.01%"
"10/14/2016","3,056.00","3,042.60","3,056.00","3,042.60","","0.44%"
"10/13/2016","3,042.60","3,055.00","3,056.00","3,042.60","","-0.41%"
"10/12/2016","3,055.00","3,057.85","3,060.00","3,048.55","","-0.09%"
"10/11/2016","3,057.85","3,054.35","3,060.50","3,046.00","","0.11%"
"10/10/2016","3,054.35","3,028.70","3,054.35","3,028.70","","0.85%"
"10/09/2016","3,028.70","3,028.70","3,028.70","3,028.70","","-0.27%"
"10/07/2016","3,037.00","3,058.80","3,060.75","3,037.00","","-0.71%"
"10/06/2016","3,058.80","3,053.35","3,058.80","3,038.00","","0.18%"
"10/05/2016","3,053.35","3,039.85","3,053.35","3,035.50","","0.44%"
"10/04/2016","3,039.85","3,036.05","3,048.90","3,036.05","","0.13%"
"10/03/2016","3,036.05","2,989.55","3,041.50","2,989.55","","1.56%"
"10/02/2016","2,989.55","2,989.55","2,989.55","2,989.55","","-1.02%"
"09/30/2016","3,020.50","3,009.10","3,020.50","3,008.80","","0.38%"
"09/29/2016","3,009.10","3,009.80","3,020.00","3,005.80","","-0.02%"
"09/28/2016","3,009.80","2,988.60","3,020.00","2,988.60","","0.71%"
"09/27/2016","2,988.60","2,979.70","3,020.00","2,979.70","","0.30%"
"09/26/2016","2,979.70","2,982.35","3,025.50","2,978.65","","-0.09%"
"09/25/2016","2,982.35","2,982.35","2,982.35","2,982.35","","-0.84%"
"09/23/2016","3,007.50","2,991.90","3,010.00","2,984.20","","0.52%"
"09/22/2016","2,991.90","2,978.25","3,013.50","2,978.25","","0.46%"
"09/21/2016","2,978.25","3,012.15","3,012.50","2,978.25","","-1.13%"
"09/20/2016","3,012.15","3,007.50","3,012.15","2,965.85","","0.15%"
"09/19/2016","3,007.50","2,988.05","3,007.50","2,965.20","","0.65%"
